Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
Jean-Paul Denis,1947,1950,2,10,0,2,2,,2,0,0,0,0,2,0,0,,,,,denisje01
David Desharnais,2018,2018,1,71,6,22,28,-22,18,4,2,0,0,17,5,0,55,10.9,927,13:03,deshada01
Vic Desjardins,1932,1932,1,48,3,3,6,,16,,,,0,,,,,,,,desjavi01
André Deveaux,2012,2012,1,9,0,1,1,3,29,0,0,0,0,1,0,0,2,0,48,5:23,deveaan01
Tom Dewar,1944,1944,1,9,0,2,2,,4,0,0,0,0,2,0,0,,,,,dewarto01
Phillip Di Giuseppe,2020,2021,2,51,2,10,12,3,15,2,0,0,0,10,0,0,79,2.5,570,11:10,digiuph01
Raphael Diaz,2014,2014,1,11,1,1,2,5,4,1,0,0,0,0,1,0,18,5.6,168,15:19,diazra01
Herb Dickenson,1952,1953,2,48,18,17,35,,10,15,3,0,2,14,3,0,,,,,dickehe01
Bob Dill,1944,1945,2,76,15,15,30,,135,15,0,0,0,14,1,0,,,,,dillbo01
Cecil Dillon,1931,1939,9,409,160,121,281,,100,78,21,10,27,73,19,1,,,,,dilloce01
Wayne Dillon,1976,1978,3,216,43,66,109,-32,58,38,5,0,3,59,7,0,346,12.4,,,dillowa01
Rob DiMaio,2000,2000,1,12,1,3,4,-8,8,1,0,0,0,2,1,0,18,5.6,186,15:30,dimairo01
Marcel Dionne*,1987,1989,3,118,42,56,98,-28,80,15,27,0,4,25,31,0,307,13.7,,,dionnma01
Pär Djoos,1992,1993,2,56,2,19,21,7,42,1,1,0,1,14,5,0,43,4.7,,,djoospe01
Gary Doak,1972,1972,1,50,1,10,11,15,54,1,0,0,0,10,0,0,33,3,,,doakga01
Jason Doig,2000,2001,2,10,0,1,1,-2,22,0,0,0,0,1,0,0,4,0,82,8:09,doigja01
Tie Domi,1991,1993,3,82,5,4,9,-10,526,5,0,0,1,4,0,0,36,13.9,,,domiti01
Ted Donato,2003,2003,1,49,2,1,3,-1,6,2,0,0,0,1,0,0,30,6.7,419,8:33,donatte01
